# z	DM_EG
5.383639	4861.730691
1.044524	1185.109738
2.779369	3234.138869
2.402426	2627.875291
2.907254	2562.130345
0.390242	337.887630
4.651765	4538.976792
5.223543	4654.314254
2.676154	2846.126484
3.381317	3782.921343
5.125506	4369.516574
3.445463	3663.288459
1.041451	458.117967
2.730323	2410.799882
2.882836	3292.581895
2.056813	1994.162555
3.629345	3645.503908
5.246847	4668.334231
5.156501	4994.769789
2.166196	2421.859115
0.888175	562.746668
5.812385	4203.730723
4.371129	3966.151033
0.933846	689.254319
5.108877	4567.510275
4.632219	3606.904180
2.460384	2477.587717
2.804547	2840.404516
1.956579	2055.883255
0.625567	675.190667
1.711656	1791.466813
4.090818	3771.664751
0.230272	326.955194
1.705294	1504.439380
1.953293	2136.967173
2.545207	3044.273673
5.099018	5313.915375
1.753603	1959.255073
1.755897	1978.454830
3.636201	3426.340705
2.171927	2308.081675
1.306745	1315.308411
2.172850	2298.935945
0.996911	1074.841662
1.130595	1543.966398
2.369208	2531.940660
2.035847	1881.631405
5.049351	4059.383613
1.814563	2059.566348
2.751446	2799.027472
3.016726	2941.340483
0.342844	351.077074
3.188622	3239.305376
1.136690	1290.497153
5.535434	5143.599211
1.026747	812.532685
2.018604	2487.382007
0.770757	749.250722
5.960569	4903.685840
2.386072	2710.119570
2.825201	2518.937367
0.686930	863.019703
3.718127	3539.858312
1.253376	1220.076449
4.887717	4014.650193
1.236030	1392.845879
1.183237	659.573351
0.523038	684.911774
2.255456	2470.202433
2.674748	2192.263585
0.680343	310.888067
3.893000	3825.450332
2.176386	2464.646180
2.485539	2054.794884
2.124562	2138.625836
1.963522	1861.949298
2.649807	2696.021723
1.051657	1467.301006
1.151050	1937.725725
4.561966	3999.390841
5.371060	4669.695072
1.856453	1684.873311
1.474089	1756.833515
3.080151	2785.847162
1.995109	1775.972097
0.448192	459.964693
1.055097	1283.176828
3.499357	3098.249928
3.162675	3381.669567
0.460551	490.263208
1.297197	1316.241126
1.330196	1658.423006
3.236159	3068.867884
0.403877	489.908683
0.850792	763.167191
4.068977	3468.516703
1.138569	1210.598171
3.128256	3112.200579
1.355948	1663.954014
0.831323	770.284683
1.374024	1256.687084
3.538770	3299.363349
4.510148	3843.610678
4.301475	3524.750176
1.949414	2273.980323
3.214408	3345.278686
1.235464	1087.741973
1.555892	1690.282167
4.871581	4466.967418
0.341886	413.821467
0.771456	857.453491
1.246030	1214.636476
0.456519	362.915072
1.149234	1299.830904
2.763559	3238.669538
2.045900	1643.367646
4.837421	4268.172560
4.201477	3613.901298
1.736526	2079.221967
1.432948	1529.869196
1.881121	1893.423389
2.799639	2228.057848
1.464336	1234.535818
2.973589	2424.336472
1.997805	1859.275380
2.613730	2210.454441
2.105558	2380.127527
1.560726	1702.917615
5.396283	4354.342523
3.810290	3289.470180
0.994050	597.854379
4.619743	3874.594560
2.321462	2220.144656
4.854912	5066.474222
4.068526	3579.657553
2.061188	1799.396177
0.426118	543.620115
1.466568	1294.553958
2.564885	2371.552173
3.023229	3188.829090
1.427374	1770.192199
0.991135	1500.590976
4.339104	4440.982747
5.807085	4977.272836
2.491456	2763.479416
1.113151	1276.826496
1.479776	1601.971365
0.392675	310.486008
5.043968	4462.122837
0.906351	942.313668
2.731440	2787.632154
1.486140	1265.185788
2.623814	2585.490062
3.120918	2968.664286
4.297679	3995.829538
1.240697	1370.081527
0.320130	564.027514
0.981601	1641.700419
4.906252	5050.581913
4.667342	3698.553543
2.835442	2174.752057
2.851179	3285.326059
3.197100	3706.093721
1.126836	548.516612
5.045080	4675.498239
2.035225	2173.942474
1.894494	2243.034503
2.460744	2313.367493
0.583816	334.805525
1.093072	1292.910420
3.639660	3832.642461
0.759459	970.900574
2.864600	3213.955998
1.381912	1658.480730
1.918486	2253.726482
1.539578	1779.612557
1.788944	1943.702195
3.518542	3257.152542
1.570474	1562.109105
2.682283	2836.315757
2.272452	2513.184626
3.189378	3058.850314
5.272540	4126.716753
3.604354	3214.285930
1.271675	1396.453909
0.488654	733.570574
1.443261	1492.092460
2.823653	2669.408034
0.608025	945.295599
2.360421	1944.799784
2.832559	3312.252311
1.708083	1924.556933
3.860731	4356.053695
0.861074	668.162194
0.724794	623.245647
3.576294	4004.005957
2.356587	2811.511778
3.332220	3382.282615
2.100249	1909.185723
1.385727	1493.885412
4.214293	4380.287974
4.065272	3774.537266
3.369616	2656.281868
1.479185	1998.945800
2.799318	2749.940756
1.809139	1737.410442
0.797904	657.011670
5.073730	4809.902351
0.981342	1150.880705
5.415647	5403.636505
2.146167	2167.900543
1.162845	1251.382235
2.566128	2599.693327
4.659005	3766.578563
3.602122	3635.529730
4.118593	3847.507788
3.161887	2782.095003
3.355187	3498.967756
4.455676	3789.122893
1.397564	1571.588452
2.330118	2020.057429
1.294430	1640.658285
5.846692	4114.139828
5.349018	4543.310138
0.540518	536.447059
3.435299	3779.932464
5.153255	4783.683031
1.146063	1773.131089
2.689725	2858.737228
5.055681	3892.654034
0.506672	769.136464
3.385936	3086.524081
1.571309	1185.579432
5.144631	4757.257906
5.649360	4528.837008
5.351233	4659.350002
2.264608	2441.946558
4.564171	4261.979349
4.417268	3946.971234
1.651611	2419.872115
4.291129	3897.973487
0.525861	266.175712
2.829665	2639.245285
1.326333	1626.218201
0.917600	1114.474104
0.733115	743.227381
3.379146	3968.612598
1.729218	2364.264655
3.554557	3366.526813
0.678638	865.429290
1.637481	1917.627287
2.554922	2530.456136
4.001538	3709.138713
1.650320	2306.489262
2.982802	3246.397902
4.775853	3483.680145
2.930137	3422.561048
1.337025	1599.327894
0.440882	276.810904
4.633991	4697.453276
0.416624	543.587739
4.674523	4305.925131
2.506280	2794.081531
5.296045	4794.161593
4.060592	3884.327028
5.973895	5111.279172
1.770117	1675.755181
3.834925	3439.308005
1.968136	1841.164238
2.288850	2181.198722
2.991360	3733.208256
4.665460	3770.712637
5.803241	4529.166520
3.842424	4511.624831
2.031195	2228.656324
2.045627	2266.829041
3.636728	2874.614719
1.358101	1199.198441
0.876948	1245.970588
1.784951	1451.815775
1.534255	1716.385391
1.567487	2006.594298
1.339373	1115.348738
0.556214	595.123621
0.388178	272.904098
5.847355	5178.517667
2.071550	1929.408332
1.899114	2486.071865
3.280919	3269.904706
1.283706	1257.271351
5.412643	4691.948231
3.969898	3647.344631
0.788517	912.981960
2.030449	2091.518239
4.713863	4488.353660
5.356215	4997.992494
2.235651	2041.561307
2.917392	2340.719069
1.095871	1068.774675
5.889601	4813.819730
1.332359	1118.450627
5.334855	5015.192605
3.111126	2756.126391
2.888085	2866.828629
2.432738	2065.493953
1.328728	1272.736667
1.131116	955.603673
1.291806	1809.428726
1.167643	1498.739557
3.921629	4170.279055
1.767895	1639.478239
0.641387	847.668459
5.626782	4741.157959
4.755925	5054.168239
5.178717	4930.263761
5.935964	4887.647512
1.121370	1192.302449
1.945711	1891.913472
3.773726	4103.632666
3.377539	3175.037958
1.046582	1321.340652
4.189081	3505.054617
1.306149	1269.119915
1.303890	1743.237720
2.543258	2362.671135
2.812897	2617.789312
2.748972	2068.095242
0.797494	701.571538
4.699048	4611.925037
1.455381	1738.456592
0.952927	1187.496584
4.801203	4496.083204
5.475036	4242.491290
4.564900	3946.490801
4.140896	4084.106494
3.142117	3374.248505
2.608112	2076.298902
0.777948	430.425763
1.993992	2354.526284
1.854061	2032.391761
1.434147	1174.018546
3.546043	3745.934071
2.358271	2397.267917
0.751630	759.700839
1.290707	842.167928
3.301981	2684.313207
0.729354	677.504462
4.472436	4321.456843
2.355077	1850.653821
2.291906	2456.327507
2.810225	2235.434479
4.257758	4009.966363
1.759132	1957.841487
3.271452	3504.614302
2.679039	2797.832974
1.460572	1819.063708
4.709491	3336.358530
4.050574	3579.558580
3.160031	2619.756074
4.467218	4081.351718
4.609524	3485.083539
3.452350	3307.539596
4.355879	3967.247650
3.386243	3777.688013
3.283789	2814.211593
2.944484	3256.368835
3.736534	3447.831749
1.064327	1278.630928
4.729596	3971.886208
4.649299	3166.627435
0.475578	540.115158
4.266676	4188.245701
0.950401	931.122654
1.711362	1600.082405
3.675442	3298.280606
1.072416	659.724425
4.205516	4086.482618
4.316717	3405.003837
2.409442	2361.138800
0.259808	177.799852
1.533520	1329.922524
2.935683	3158.873952
5.768474	4581.948853
3.014314	3090.605755
1.434328	1470.350114
3.026058	2894.024044
2.557217	2760.406785
3.923479	4038.048683
0.862648	585.823279
3.792678	3969.825280
2.563174	2271.013344
5.557088	5124.916603
1.736733	2007.591123
3.018640	2924.724786
5.222612	5118.642199
0.844152	1003.943220
5.276717	4876.699919
3.329170	3169.606229
0.690571	434.557395
1.584595	1492.608405
3.451180	3067.858094
0.688244	815.392930
2.759253	2964.119445
1.751855	1960.813121
2.956562	2475.650712
0.577004	311.811347
4.646603	4366.652743
5.677611	4969.044626
5.624196	4314.025025
3.716073	3848.304887
0.955163	1125.069167
3.773894	3351.255946
0.442273	426.832249
0.423409	514.274712
1.668376	1837.319415
2.326721	3156.636810
3.857221	3634.169577
3.302195	3510.184376
2.145742	1807.520726
1.484579	1557.017712
5.963711	5358.321282
2.065103	1478.658759
2.168472	2034.657945
1.083140	927.191391
4.031346	4058.573820
3.363560	3067.987863
1.292835	1419.660332
0.757598	1037.908275
3.285876	2946.478771
3.138052	3341.225644
1.483243	1365.333885
5.422468	4270.901767
1.035841	905.631608
2.090085	1950.013088
5.344281	4547.768193
2.039070	1804.332128
3.050411	3247.139334
1.951031	2179.797441
1.486723	1580.406287
5.801966	4201.526344
1.997496	2127.298840
4.850690	4423.562089
1.326136	1291.327382
1.265006	1324.949715
0.488328	494.318314
3.122280	2922.961886
1.838052	2196.794279
4.584096	3263.983288
2.260324	1862.948309
5.616331	4920.489645
1.164289	1115.147109
4.621096	4140.537231
3.900522	3959.201828
3.860799	3817.024349
4.419191	3630.219139
3.792651	3743.777115
2.984544	3453.638750
0.959690	894.532637
0.497502	606.075100
5.108936	5188.128150
2.934240	2857.250185
4.044030	4164.937531
2.295932	2966.559488
0.904575	969.823595
0.935912	1179.242997
3.315506	3192.651201
2.081830	2748.544044
1.219207	1386.156780
2.339561	2577.051584
0.673061	845.337658
2.758269	3119.943940
1.467718	1549.849223
4.051555	4152.868607
1.619245	1757.543595
2.184440	1789.456291
0.327121	442.592030
0.712327	1246.077942
1.930999	1873.140775
2.289121	2722.093724
2.848657	2147.407141
1.550449	1861.078395
3.371322	3061.870291
4.547735	4313.339102
3.923518	3795.665045
0.541664	612.615802
2.291563	1712.327298
0.854193	852.095757
1.369940	1259.472813
5.834455	4613.804190
1.003201	856.501837
2.371496	2484.210070
2.942101	3356.737682
3.416383	3014.864694
2.649847	2751.832422
0.305760	373.055661
1.678997	2109.798304
2.455303	2360.872197
0.781794	573.526895
