# z_cadidates 	 DM_IGM_candidates
0.454805	446.082095
0.510539	693.847261
0.101057	81.892488
0.118237	65.058738
0.498353	347.374582
0.644635	1182.248095
0.272720	249.106522
0.248322	254.749947
0.699684	770.266545
0.062733	143.362562
0.484823	631.948537
0.403429	641.133616
0.085247	14.263973
0.135881	312.581941
0.266576	48.673094
0.688892	725.801909
0.202588	283.614776
0.089690	55.090272
0.249326	315.442777
0.299637	280.829903
0.768037	716.413655
0.361959	383.499093
0.305368	602.362211
0.611169	1058.627835
0.176237	81.683600
0.775983	622.308928
0.347342	338.591694
0.750217	752.928175
0.399578	519.139998
0.109652	35.683752
0.230420	217.626489
0.446712	249.859538
0.160134	56.913299
0.925311	685.934637
0.733290	524.190291
0.325031	434.028350
