# z_cadidates 	 DM_host_candidates
0.328123	29.294669
0.109044	18.424728
0.741957	8.202619
0.192792	17.561932
0.742908	21.508360
0.399179	17.520822
0.561025	22.053087
0.162416	54.443782
0.614015	43.143406
0.473921	14.466617
0.908599	19.937439
0.721746	149.123255
0.962858	34.702396
0.161492	12.401453
0.783423	23.599274
0.476735	46.087758
0.200478	15.761727
0.741799	11.421966
0.127336	14.841587
0.295142	13.410116
0.691367	14.503307
0.177889	32.380360
0.248995	29.874075
0.367497	11.199702
0.181732	38.042570
0.449746	21.318178
0.287425	15.290114
0.339714	3.281291
0.211281	16.790375
0.373484	38.104795
0.686524	53.989093
0.352988	7.839452
0.195827	1.268993
0.710087	14.070453
0.388824	8.761275
0.117514	16.314269
0.290690	30.586151
0.259983	7.201188
0.331694	17.896962
0.144027	18.257270
0.239907	23.866105
0.176740	5.745538
0.795935	27.335472
0.390678	6.094072
0.533747	40.356371
0.482553	97.863146
0.805882	7.196890
0.746021	14.902548
0.143235	7.234714
0.299955	7.846246
0.338988	4.194683
0.190461	46.456005
0.555165	4.098654
0.188224	17.397866
0.297924	29.739078
0.265040	21.616517
0.644369	26.045772
0.380250	18.756976
0.916125	3.503568
0.500382	5.435537
0.123899	12.362121
0.395076	26.714491
0.687518	19.790132
0.202338	17.644365
0.579655	14.668904
0.730099	23.841299
0.805795	15.870939
0.123922	26.855901
0.407845	19.910839
0.317354	28.097870
0.580666	18.495181
0.257832	6.778054
0.149755	15.493426
0.422223	3.410403
0.631474	4.495225
0.512210	16.988382
0.392607	2.307236
1.032481	43.757020
0.460253	25.163212
0.583411	4.539342
0.549178	39.594309
0.274035	55.053682
0.278163	30.981151
0.541096	39.365854
0.804828	3.622673
0.355822	28.709614
0.776698	2.184585
0.110052	24.577005
0.227237	1.281317
1.090686	25.308880
0.547065	46.781878
0.409308	5.871001
0.395728	6.825059
0.396737	48.782546
0.585465	14.666903
0.159065	8.725064
0.185690	2.002315
0.482983	11.083068
0.365770	20.874960
0.145595	8.798185
0.146877	4.020789
0.411437	32.165401
0.309884	47.405158
0.225136	21.233201
0.294114	2.700408
0.076272	24.627843
0.467809	22.164835
0.823373	19.980721
0.303844	6.051373
0.243518	13.049711
0.398997	25.688113
0.428562	8.112719
0.858486	56.701386
0.969486	91.990907
0.258934	6.073181
0.162282	18.316561
0.128057	7.517216
0.698341	18.489055
0.274021	13.513036
0.363480	11.463301
0.133752	11.324374
0.444015	38.325900
0.704249	12.655127
0.832026	10.821276
0.307658	21.848607
0.589950	11.089253
0.425279	58.972632
0.110432	26.641757
0.491614	33.291203
0.461764	28.553467
0.341258	15.776266
0.305304	17.201652
1.259575	5.345604
0.588154	30.270382
0.268198	17.695360
1.120287	13.635843
0.177032	4.647276
0.430440	11.451086
0.269037	18.664548
0.274352	7.840641
0.915006	27.117870
0.245819	26.443707
0.126645	13.662580
0.036314	11.020860
1.079490	16.537845
0.639967	17.403452
0.066112	9.552275
0.259106	2.181471
0.120698	13.054070
0.871197	28.225005
0.479872	36.064364
0.472986	1.243101
0.464146	25.303672
1.140775	52.139091
0.256936	22.617890
0.327210	5.648390
0.751765	40.253921
0.122839	22.305840
0.390759	6.135365
0.119457	12.303151
0.116311	21.657133
0.174923	8.073128
0.331730	20.898833
0.651038	48.040936
0.457839	19.113772
0.756581	22.439521
0.164619	44.995353
0.193694	23.784258
0.313202	2.078285
0.312129	22.122117
0.454805	3.220319
0.510539	8.879954
0.101057	11.324710
0.118237	14.841168
0.498353	6.698854
0.644635	20.075786
0.272720	7.249686
0.248322	20.544727
0.699684	32.823581
0.062733	20.157126
0.484823	15.888824
0.403429	11.123833
0.085247	12.791436
0.135881	11.395173
0.266576	33.200425
0.688892	14.317102
0.202588	47.689465
0.089690	69.696232
0.249326	16.654224
0.299637	56.661179
0.768037	12.042874
0.361959	18.648280
0.305368	27.969629
0.611169	12.024025
0.176237	27.284726
0.775983	40.742916
0.347342	17.794741
0.750217	16.720676
0.399578	7.904859
0.109652	29.919313
0.230420	19.480787
0.446712	6.070077
0.160134	4.185068
0.925311	9.439521
0.733290	10.756385
0.325031	70.091884
