# z_cadidates 	 DM_host_candidates
0.801366	10.214699
0.157710	24.120301
0.505190	7.318016
0.606966	30.732692
0.114048	5.871456
0.192849	5.819092
1.257548	23.156214
0.528123	15.820271
0.113324	18.189641
0.969556	32.509259
1.029043	179.888022
0.359624	13.490383
0.394196	20.467732
0.805269	13.979266
0.364081	2.135172
0.379682	8.604150
0.820361	66.860629
0.082855	17.169575
0.283562	39.146142
0.136894	14.400288
0.858921	17.452965
0.480905	5.746775
0.531735	5.912301
0.227039	49.427355
1.480568	18.878706
0.250964	23.702118
0.442206	9.271951
0.118393	134.881812
0.493346	36.212730
0.770917	19.920475
0.320890	24.474000
0.512355	8.321497
0.608510	2.244461
0.166422	6.090531
0.547987	33.077151
0.383962	10.055902
0.154037	10.325860
0.300775	3.873988
0.244062	14.539048
0.360473	17.299698
0.364236	6.219378
0.654256	15.275490
0.399890	19.850106
0.371462	11.046292
0.200440	15.991612
0.592912	13.682840
0.627049	11.089357
0.846539	14.802116
0.608817	27.002268
0.252002	32.569002
0.290186	20.710494
0.332443	17.350634
0.640076	50.019929
0.367302	53.430792
0.229588	10.027284
0.339545	1.577343
0.330090	6.599932
0.755337	11.057812
1.034513	4.742969
0.674580	86.459070
0.739322	58.594949
0.167695	24.991816
0.338169	20.995373
0.258876	42.843414
0.372202	9.032478
0.203275	9.747255
0.226100	11.792424
0.294769	2.513041
1.241861	47.553915
0.505817	25.866277
0.656159	6.059360
0.437389	9.310370
0.570702	12.652496
0.673168	50.399903
0.140558	4.507258
0.118263	9.372167
0.331773	21.925312
1.162538	99.606707
0.503823	4.020179
0.187425	22.615571
0.240290	22.149394
0.539789	17.881647
0.167845	6.192318
0.455925	31.884672
0.424733	5.535096
0.103401	3.484357
0.252315	28.158399
0.199501	12.648246
0.621851	20.292262
0.116095	9.294245
0.748335	39.763781
0.387395	18.231213
0.145603	8.473193
0.160050	23.182541
0.438765	25.229518
0.117104	11.460279
1.055558	25.834767
0.512367	7.470469
1.146566	16.595333
0.463227	15.689609
0.394726	7.422645
0.135166	9.054774
0.275277	12.369226
0.691494	21.189073
0.546393	20.475858
0.576808	18.568935
0.429374	21.493988
0.263489	15.210393
0.854826	75.677027
0.459592	3.766337
0.132612	5.967554
0.159263	7.107678
0.395307	36.319217
0.120396	4.858091
