# z 	 DM_ext
0.130401	120.739309
0.290242	529.764786
0.120173	83.436724
0.139306	95.383235
0.003440	22.151991
0.273250	337.239408
0.010917	10.684622
0.072870	118.662854
0.193885	316.941081
0.055438	43.988387
0.071493	76.552833
0.185084	104.271700
0.200371	245.486767
0.151568	219.822739
0.002515	18.773650
0.006424	18.314186
0.350305	441.069316
0.094591	14.276317
0.186026	213.768044
0.118174	163.233408
0.081240	94.179232
0.276526	469.847750
0.415402	374.114517
0.118882	26.321955
0.268156	343.464182
0.011046	23.741580
0.047511	197.715833
0.221077	137.162675
0.095372	102.864696
0.193404	195.465037
0.224606	374.488597
0.264174	241.851051
0.343546	470.120755
0.350996	210.064749
0.034174	43.933519
0.121584	70.492303
0.117351	290.587238
0.136068	76.141305
0.106251	109.321934
0.145834	43.665302
0.068669	185.349167
0.323747	389.938655
0.224953	464.543632
0.067773	45.588037
0.148865	83.669517
0.037159	53.296100
0.049794	84.663613
0.337252	284.219881
0.559673	699.709190
0.201357	142.089583
0.158963	205.565895
0.027579	45.785404
0.086190	152.637019
0.080843	118.525563
0.087218	20.941829
0.058235	160.978543
0.024822	54.119740
0.279133	271.820535
0.213881	275.861057
0.024959	18.607485
0.150936	168.963130
0.101488	109.673615
0.616813	574.362010
0.449891	618.562809
0.613680	449.249201
0.084650	44.070354
0.008261	56.706774
0.032513	74.992503
0.086578	13.916596
0.110252	131.456806
0.625231	541.380373
0.322021	462.187045
0.214242	215.358016
0.455705	672.880083
0.251487	235.759453
0.304753	453.323143
0.101548	166.217155
0.016999	58.015508
0.011223	34.002883
0.011613	28.346592
0.275692	236.231978
0.052671	120.570777
0.102410	116.081405
0.021305	16.478184
0.405187	595.584396
0.142943	144.027730
0.184338	89.817650
0.203431	291.697710
0.229007	404.022380
0.424221	646.082016
0.284799	326.884936
0.040019	16.561131
0.049183	100.182416
0.359440	422.957927
0.111212	110.105168
0.557879	824.317561
0.236472	85.479992
0.196360	178.566865
0.149418	76.105741
0.317507	540.472528
0.246913	56.531621
0.118638	120.958077
0.072097	164.092667
0.122831	95.275891
0.144951	57.084201
0.091659	51.499937
0.046728	49.307026
0.155817	183.944880
0.219627	295.925916
0.192156	120.113466
0.031679	93.059327
0.611009	1273.062656
0.271138	438.874517
0.324637	381.627181
0.185594	376.434404
0.208059	523.487533
0.009916	28.587079
0.131031	103.469743
0.133174	276.173385
0.104345	207.447984
0.602393	350.988893
0.149100	324.095406
0.087759	89.758217
0.011301	11.146799
0.204748	164.027849
0.056429	67.944065
0.014630	21.446404
0.269431	302.887509
0.212921	199.084347
0.231642	208.348891
0.147701	232.464043
0.063963	2.519498
0.038201	132.159655
0.540187	662.869755
0.290884	377.665518
0.363986	353.247567
0.124390	321.572098
0.053953	11.305288
0.046326	13.713325
0.159214	285.747292
0.057125	114.583573
0.007782	10.516344
0.256637	292.267768
0.363874	388.973919
0.076802	101.187144
0.174542	208.214038
0.122699	371.891161
0.094888	302.293056
0.227123	513.275892
0.165353	192.697805
0.218696	166.992334
0.157549	187.685241
0.056938	95.923264
0.051486	46.743582
0.147963	230.668181
0.340683	406.682944
0.161738	328.114510
0.066457	48.543997
0.173755	245.934092
0.181057	175.622080
0.057715	23.523660
0.325108	255.258553
0.125037	31.429371
0.205744	165.367156
0.189205	49.515045
0.495270	777.095310
0.327260	156.454719
0.235671	364.574605
0.091622	228.704178
0.145629	167.191534
0.122617	24.799538
0.068094	103.721297
0.329817	224.230628
0.117443	84.509381
0.213337	254.101888
0.124130	124.334313
0.054977	111.850812
0.007503	26.926774
0.231551	373.731828
0.150749	56.687201
0.415091	297.328073
0.077757	109.440151
0.415679	651.366988
0.457842	627.939499
0.366611	458.588498
0.313975	364.347957
0.135498	195.494708
0.409249	289.410829
0.352739	414.795326
0.167900	189.792130
0.014869	33.571273
0.111122	230.646532
0.371208	548.951885
0.202341	83.175160
0.087880	273.807328
0.156585	95.514623
0.167397	106.497537
0.052396	175.889348
0.084515	99.709039
0.154676	265.852663
0.371188	294.437674
0.151942	288.290378
0.073993	192.777172
0.101837	124.987180
0.281795	376.540513
0.265974	528.968117
0.134701	132.577311
0.191559	203.700138
0.041375	76.982014
0.299387	274.812913
0.153388	352.083657
0.178063	46.245756
0.244890	217.277409
0.040825	93.106776
0.108297	106.125954
0.042814	38.935979
0.297643	291.979727
0.024658	70.920169
0.047039	65.398000
0.333272	293.834304
0.192327	261.257230
0.640008	721.473562
0.106892	137.503858
0.128518	228.388271
0.530532	287.058639
0.419627	482.135218
0.339656	323.612146
0.061442	70.346845
0.068362	60.084161
0.140505	90.287225
0.136674	247.971645
0.062949	95.023365
0.165524	75.858651
