# ra_cadidates 	 dec_candidates
-2.273756	-0.075334
0.230707	-0.130209
0.669485	-0.137701
-0.513451	-0.031965
-0.969935	-0.151432
-0.330787	-0.212941
-2.872503	-0.147237
-1.704221	-0.133427
1.381671	-0.139398
2.177333	-0.163071
-1.372184	-0.121342
2.597343	-0.081568
0.696766	-0.100396
-2.166127	-0.002842
2.471791	-0.006508
1.635232	-0.109909
-3.070909	0.022527
2.747050	-0.050965
1.745592	-0.019741
0.846022	-0.176984
0.563178	-0.132689
2.295834	-0.176813
-0.487168	-0.109403
1.573639	-0.138383
-0.049559	0.003793
-0.792301	0.030584
1.561880	-0.096273
-2.294255	0.014967
2.745607	-0.122141
0.993834	-0.120108
2.067444	-0.199996
-2.232785	-0.092737
-1.265551	0.037855
0.479493	-0.052883
-0.666566	-0.069987
