# z	DM_HG
0.771456	5.228732
1.246030	22.210853
0.456519	25.708120
1.149234	18.251796
2.763559	48.750071
2.045900	53.945389
4.837421	17.744609
4.201477	24.883695
1.736526	26.672683
1.432948	114.668136
1.881121	104.091844
2.799639	4.934975
1.464336	19.135140
2.973589	21.654176
1.997805	6.329557
2.613730	115.781070
2.105558	25.536918
1.560726	13.374966
5.396283	15.410159
3.810290	3.773452
0.994050	82.563748
4.619743	11.981982
2.321462	82.414482
4.854912	14.800983
4.068526	50.642504
2.061188	49.914416
0.426118	32.100643
1.466568	33.162785
2.564885	11.313938
3.023229	31.146374
1.427374	23.636002
0.991135	29.510393
4.339104	20.013440
5.807085	10.644736
2.491456	17.632875
1.113151	78.927038
1.479776	43.652246
0.392675	20.771579
5.043968	21.924466
0.906351	5.336824
2.731440	24.370243
1.486140	4.943687
2.623814	18.383546
3.120918	2.714982
4.297679	107.302131
1.240697	14.859441
0.320130	23.079133
0.981601	69.510236
4.906252	38.155105
4.667342	20.983315
2.835442	73.372877
2.851179	28.276921
3.197100	82.789900
1.126836	28.938982
5.045080	11.891421
2.035225	14.364810
1.894494	38.485190
2.460744	34.329159
0.583816	11.380917
1.093072	9.701710
3.639660	63.250203
0.759459	30.601126
2.864600	28.219021
1.381912	20.331917
1.918486	4.331925
1.539578	16.120096
1.788944	17.327407
3.518542	101.506943
1.570474	45.546660
2.682283	91.205037
2.272452	80.316320
3.189378	15.271998
5.272540	15.804752
3.604354	2.607473
1.271675	18.024393
0.488654	14.031832
1.443261	27.478021
2.823653	19.832763
0.608025	21.985360
2.360421	35.180510
2.832559	82.515281
1.708083	4.848362
3.860731	87.189355
0.861074	26.529768
0.724794	6.158902
3.576294	61.568167
2.356587	109.971377
3.332220	30.839018
2.100249	176.321123
1.385727	5.300267
4.214293	15.882705
4.065272	53.302826
3.369616	42.453348
1.479185	20.703821
2.799318	69.606179
1.809139	6.735734
0.797904	14.624755
5.073730	46.777520
0.981342	57.460259
5.415647	35.628558
2.146167	9.123501
1.162845	41.015329
2.566128	50.604715
4.659005	11.493313
3.602122	25.430626
4.118593	35.315465
3.161887	3.962105
3.355187	34.112377
4.455676	3.950422
1.397564	11.092374
2.330118	11.752799
1.294430	12.471713
5.846692	9.841672
5.349018	16.539444
0.540518	8.840491
3.435299	22.889804
5.153255	9.005045
1.146063	22.687139
2.689725	8.832702
5.055681	24.345840
0.506672	62.983027
3.385936	12.412314
1.571309	13.439491
5.144631	19.174103
5.649360	15.268512
5.351233	53.158761
2.264608	23.281191
4.564171	28.493826
4.417268	8.282548
1.651611	36.407648
4.291129	24.622769
0.525861	29.060828
2.829665	11.374149
1.326333	70.512913
0.917600	3.782976
0.733115	23.785616
3.379146	12.884792
1.729218	4.699039
3.554557	66.633419
0.678638	29.562985
1.637481	41.213013
2.554922	27.268360
4.001538	19.380710
1.650320	9.444706
2.982802	43.414187
4.775853	31.844237
2.930137	12.060043
1.337025	18.823806
0.440882	13.813930
4.633991	26.657889
0.416624	52.248627
4.674523	11.379398
2.506280	65.984973
5.296045	23.900509
4.060592	74.177917
5.973895	2.026560
1.770117	11.473588
3.834925	4.565942
1.968136	55.299438
2.288850	38.922627
2.991360	6.858329
4.665460	16.519958
5.803241	14.804411
3.842424	1.939525
2.031195	48.590980
2.045627	25.988572
3.636728	20.424579
1.358101	25.911669
0.876948	37.132364
1.784951	54.530695
1.534255	46.033198
1.567487	31.154443
1.339373	4.705302
0.556214	9.186852
0.388178	18.030518
5.847355	14.063070
2.071550	23.722619
1.899114	17.957651
3.280919	10.488713
1.283706	29.068551
5.412643	17.894207
3.969898	10.336594
0.788517	4.131930
2.030449	3.863733
4.713863	10.050842
5.356215	33.662295
2.235651	34.246634
2.917392	6.332896
1.095871	42.251314
5.889601	7.530663
1.332359	25.873291
5.334855	23.569388
3.111126	26.710950
2.888085	23.463166
2.432738	30.287210
1.328728	72.060822
1.131116	48.923769
1.291806	17.316705
1.167643	30.817767
3.921629	13.821404
1.767895	57.773209
0.641387	12.815013
5.626782	26.780578
4.755925	22.459846
5.178717	29.732602
5.935964	4.982945
1.121370	16.451647
1.945711	39.233258
3.773726	56.676303
3.377539	57.009477
1.046582	5.626537
4.189081	20.084155
1.306149	58.193350
1.303890	36.207106
2.543258	132.102499
2.812897	29.274462
2.748972	20.677116
0.797494	15.714896
4.699048	18.790411
1.455381	9.453697
0.952927	61.380401
4.801203	50.458801
5.475036	32.445607
4.564900	110.034699
4.140896	36.743115
3.142117	70.991702
2.608112	19.740108
0.777948	24.742441
1.993992	10.453695
1.854061	20.605846
1.434147	9.876728
3.546043	74.980707
2.358271	43.457745
0.751630	25.451385
1.290707	40.171342
3.301981	90.166939
0.729354	46.416160
4.472436	4.825508
2.355077	14.796050
2.291906	28.977149
2.810225	189.724197
4.257758	62.582386
1.759132	36.403485
3.271452	12.599413
2.679039	100.547656
1.460572	29.897433
4.709491	67.070698
4.050574	18.539904
3.160031	5.438665
4.467218	3.837749
4.609524	55.684701
3.452350	50.263219
4.355879	31.884269
3.386243	79.853182
3.283789	1.555909
2.944484	52.778401
3.736534	10.375604
1.064327	26.038492
4.729596	21.857508
4.649299	28.426073
0.475578	24.744605
4.266676	27.127872
0.950401	64.186957
1.711362	30.724286
3.675442	13.390870
1.072416	31.601209
4.205516	30.231934
4.316717	15.189541
2.409442	25.235149
0.259808	51.872706
1.533520	34.346455
2.935683	17.440971
5.768474	8.852398
3.014314	11.573137
1.434328	98.553379
3.026058	40.232044
2.557217	34.936407
3.923479	6.155901
0.862648	17.608393
3.792678	190.907121
2.563174	4.093350
5.557088	20.631713
1.736733	48.809652
3.018640	124.290463
5.222612	18.234170
0.844152	53.455022
5.276717	19.182956
3.329170	4.598766
0.690571	10.891950
1.584595	101.512832
3.451180	25.907678
0.688244	13.361320
2.759253	7.928492
1.751855	39.836587
2.956562	15.307028
0.577004	12.445629
4.646603	8.324646
5.677611	35.655957
5.624196	19.572258
3.716073	13.873455
0.955163	21.695227
3.773894	27.458623
0.442273	24.395320
0.423409	39.642910
1.668376	29.927264
2.326721	14.737639
3.857221	7.881384
3.302195	23.725691
2.145742	22.920536
1.484579	26.574265
5.963711	8.576175
2.065103	24.471571
2.168472	13.002262
1.083140	77.671147
4.031346	15.531945
3.363560	28.651890
1.292835	14.785558
0.757598	16.871727
3.285876	20.049218
3.138052	82.044827
1.483243	21.210144
5.422468	9.329999
1.035841	65.165649
2.090085	4.012780
5.344281	19.699916
2.039070	70.417756
3.050411	46.945512
1.951031	18.389120
1.486723	17.871044
5.801966	7.437010
1.997496	17.115681
4.850690	20.079169
1.326136	17.757925
1.265006	16.202836
0.488328	49.579626
3.122280	71.508812
1.838052	12.998342
4.584096	22.254024
2.260324	44.434858
5.616331	5.163697
1.164289	35.187829
4.621096	15.511345
3.900522	27.092707
3.860799	41.474973
4.419191	8.538874
3.792651	37.090621
2.984544	9.972106
0.959690	58.004080
0.497502	10.472540
5.108936	11.674946
2.934240	93.217163
4.044030	5.444867
2.295932	57.752354
0.904575	31.726369
0.935912	46.929175
3.315506	64.325916
2.081830	29.142796
1.219207	49.951968
2.339561	4.646217
0.673061	25.858591
2.758269	29.732152
1.467718	12.785136
4.051555	4.138189
1.619245	106.995536
2.184440	39.846800
0.327121	31.070685
0.712327	12.010299
1.930999	15.478561
2.289121	34.652094
2.848657	68.810940
1.550449	43.558578
3.371322	36.075424
4.547735	44.105305
3.923518	28.510618
0.541664	35.132540
2.291563	9.452250
0.854193	15.063373
1.369940	27.135292
5.834455	18.918931
1.003201	14.008439
2.371496	127.093591
2.942101	98.326106
3.416383	31.508310
2.649847	26.920502
0.305760	11.708308
1.678997	8.901473
2.455303	40.282026
0.781794	40.412533
1.769795	21.800174
0.501897	11.336729
0.740507	5.070490
1.948390	89.804785
0.965423	99.139810
2.687770	5.737082
3.338503	6.314245
4.073951	21.192959
1.217840	14.657741
1.097543	63.165042
0.852694	57.348424
3.039098	6.802118
3.440797	54.203014
0.491328	6.097468
5.266081	14.907396
0.610924	82.975766
2.563312	5.450914
3.456631	7.564266
4.641619	10.797909
3.487646	14.682562
4.082433	11.006602
1.727621	3.034726
4.181345	16.245104
0.747446	19.751350
4.857378	7.959264
2.592745	56.747698
4.200353	18.070866
2.172345	41.477958
3.077849	26.943534
2.494703	27.215734
3.598043	33.106304
0.754244	41.570667
0.654027	26.617301
1.388269	35.249997
1.067856	65.946360
4.648772	11.786397
1.287190	7.435594
5.705433	21.828964
1.718027	56.381908
1.151749	16.903874
3.994106	21.509628
3.161464	35.807289
2.368452	53.332126
2.629438	58.992417
3.519518	55.963282
1.320701	28.922465
5.953792	12.909851
5.692855	9.781042
3.114871	23.579301
1.215622	34.612701
3.284298	67.858941
0.711167	21.259077
0.485110	4.798303
1.426631	31.021798
2.215477	7.446101
4.618039	18.366271
3.569802	31.607811
3.670177	22.845750
2.062320	20.397077
1.752051	44.896842
1.847709	34.333098
5.846467	20.589623
0.544579	17.159211
4.607241	26.306216
2.742032	24.431999
2.115748	29.544184
3.557667	24.701820
2.318158	11.231635
4.663218	6.519797
4.912721	34.786236
2.047093	36.661448
1.496242	89.633107
2.809937	12.946968
5.024989	17.386841
1.256127	20.141724
2.967352	4.572134
3.012960	12.877571
3.607833	24.923483
0.960949	45.660361
3.498441	33.160183
4.992561	17.312415
1.142772	51.746247
1.353632	3.168424
5.653263	175.651989
1.147544	11.535378
4.499090	18.342664
2.342541	17.732432
1.388732	23.238995
4.639696	2.154789
2.143274	70.323521
2.442283	6.523463
1.802500	73.474854
2.812952	22.389341
1.082766	16.965484
1.925470	5.353829
5.630349	3.990270
1.428266	31.273383
3.150446	55.135908
1.674259	29.424365
3.878597	41.391746
0.958240	16.040815
5.635061	36.804722
2.178473	27.380933
1.348223	2.436342
0.717210	12.483780
1.106012	16.009971
2.464611	45.537887
1.718430	32.018934
4.290874	39.904183
2.084195	48.395920
