# z_cadidates 	 DM_IGM_candidates
0.039965	81.958173
1.183681	703.866931
0.790921	709.000656
0.334702	45.744060
0.224561	305.240165
0.555323	330.537991
0.272653	202.619934
0.082422	16.155584
0.264164	409.446893
0.207493	126.514524
0.184814	93.755556
0.623419	536.855956
0.236885	261.176076
0.344554	96.335167
0.714001	787.604213
0.822445	1012.934867
0.533948	560.590770
0.120823	208.331718
0.125854	126.437403
0.304154	357.306268
0.988162	464.280615
0.247746	374.248395
0.232267	55.087675
0.205772	152.671380
0.100524	232.441948
0.251076	244.282890
0.326430	437.974993
0.478419	458.268382
0.333391	539.683025
0.452469	529.407558
0.380744	341.706881
0.370153	334.495213
0.547749	639.999241
0.456289	289.597608
0.241441	235.670017
0.251690	32.801807
1.063700	1229.443952
0.454374	609.860190
0.440598	365.523228
0.301453	308.956677
0.160082	100.347629
0.182813	349.301674
0.769342	1026.082391
0.210230	263.885486
0.314171	330.190978
0.221809	128.689798
0.651017	913.637303
0.235937	354.198198
0.161423	150.346569
0.139768	145.597386
0.068656	198.227379
0.491301	357.307419
0.643869	1050.747466
0.106235	51.555915
0.582596	637.539256
0.117827	65.625190
0.244538	152.361961
0.437150	448.506816
0.343054	436.418772
0.657929	686.262956
0.437190	465.017490
1.443600	1865.093723
0.189484	195.922057
0.538496	626.031883
0.622702	560.063996
0.681346	1015.381237
0.171077	54.426892
0.354112	339.483885
0.340113	237.673393
0.556423	657.268578
0.597810	729.630031
0.727491	804.808492
0.115724	16.858610
0.098690	244.348260
0.174558	163.873425
0.852101	953.877126
0.544138	775.656619
0.159023	166.267746
0.052761	85.888457
0.800409	629.733416
0.725212	870.093684
0.690161	705.971789
0.203799	149.091655
0.366109	168.771938
0.103406	58.095877
0.162394	59.885766
0.515372	700.869433
0.194807	346.383211
0.254769	200.202556
0.089731	27.504951
0.185929	225.404481
0.502511	470.340757
0.871451	683.145322
0.570800	224.186636
0.692103	937.250826
0.741343	756.413343
1.462020	1116.476943
0.449645	504.942249
0.554536	897.453816
0.143837	194.963621
0.378472	401.053151
0.385708	416.749817
0.094245	128.841326
0.216211	219.524677
1.147089	992.743901
0.374370	510.454725
0.138099	258.593520
0.448099	662.827033
1.041992	634.299534
1.524884	1404.368913
0.526776	931.041527
0.266160	318.204281
0.384970	373.789422
0.188069	287.474725
0.192251	136.862459
0.836117	947.611686
0.340424	456.714487
0.274390	258.508858
0.352361	466.542741
0.144447	91.848232
0.765159	517.452012
0.552347	821.000178
0.155259	270.201461
0.231204	238.272929
0.306955	359.815013
0.426094	472.087974
0.142045	95.382993
1.000852	870.168674
0.110201	111.076998
0.566036	450.084076
0.128101	108.271127
0.438395	663.354444
0.301894	398.565766
0.231184	111.196884
0.127681	188.120212
0.395546	385.451896
0.218411	73.635706
0.713604	583.769255
0.660433	1050.192212
0.481639	463.101910
1.686974	1692.151940
0.312871	459.111255
0.533752	508.686152
0.329161	258.689202
0.347369	324.585577
0.363907	154.075469
0.277299	502.399889
0.235881	352.574168
0.363953	499.433930
1.155454	1457.509076
0.612991	455.148987
0.869544	1204.005199
0.131643	105.190597
0.109851	198.747085
0.600361	509.044708
0.619728	893.673990
0.410073	663.870607
0.094550	81.070636
0.660777	560.765535
1.322759	1832.167095
0.407626	461.885583
0.458667	369.175141
0.120263	214.964187
0.739546	711.384934
0.069022	158.424956
0.598701	495.019573
0.112460	225.447636
0.401784	169.330318
0.189774	287.749679
0.091407	232.436281
0.787437	605.651388
1.330437	1848.088120
0.328942	453.840818
0.247050	249.590598
0.364079	235.497428
0.673168	648.121125
0.336968	498.942003
0.428747	544.852263
0.290943	308.468714
0.369735	348.249386
0.660892	860.821705
1.772331	2045.883282
0.340739	207.592358
0.442243	223.122851
0.414075	478.372089
0.450059	675.317807
0.704409	984.433565
0.469038	191.794677
1.044655	1116.248962
0.190925	258.269140
0.260988	539.844367
0.270086	408.379746
0.833174	717.806164
0.096761	110.359424
0.217814	322.405538
0.087431	121.139540
0.360511	393.376922
0.079868	57.167486
0.488419	470.009234
0.693727	782.034429
0.337371	239.097577
0.107992	38.164477
0.370868	337.682316
0.373776	252.891281
0.670750	821.032029
0.231663	114.231300
0.262284	59.091145
